1e-12,
  1, 10, 100,   1e3, 10e3, 100e3,  1e6,  10e6,
1.1, 11, 110, 1.1e3, 11e3, 110e3, 1.1e6, 11e6,
1.2, 12, 120, 1.2e3, 12e3, 120e3, 1.2e6, 12e6,
1.3, 13, 130, 1.3e3, 13e3, 130e3, 1.3e6, 13e6,
1.5, 15, 150, 1.5e3, 15e3, 150e3, 1.5e6, 15e6,
1.6, 16, 160, 1.6e3, 16e3, 160e3, 1.6e6, 16e6,
1.8, 18, 180, 1.8e3, 18e3, 180e3, 1.8e6, 18e6,
  2, 20, 200,   2e3, 20e3, 200e3,   2e6, 20e6,
2.2, 22, 220, 2.2e3, 22e3, 220e3, 2.2e6, 22e6,
2.4, 24, 240, 2.4e3, 24e3, 240e3, 2.4e6, 24e6,
2.7, 27, 270, 2.7e3, 27e3, 270e3, 2.7e6, 27e6,
  3, 30, 300,   3e3, 30e3, 300e3,   3e6, 30e6,
3.3, 33, 330, 3.3e3, 33e3, 330e3, 3.3e6, 33e6,
3.6, 36, 360, 3.6e3, 36e3, 360e3, 3.6e6, 36e6,
3.9, 39, 390, 3.9e3, 39e3, 390e3, 3.9e6, 39e6,
4.3, 43, 430, 4.3e3, 43e3, 430e3, 4.3e6, 43e6,
4.7, 47, 470, 4.7e3, 47e3, 470e3, 4.7e6, 47e6,
5.1, 51, 510, 5.1e3, 51e3, 510e3, 5.1e6, 51e6,
5.6, 56, 560, 5.6e3, 56e3, 560e3, 5.6e6, 56e6,
6.2, 62, 620, 6.2e3, 62e3, 620e3, 6.2e6, 62e6,
6.8, 68, 680, 6.8e3, 68e3, 680e3, 6.8e6, 68e6,
7.5, 75, 750, 7.5e3, 75e3, 750e3, 7.5e6, 75e6,
8.2, 82, 820, 8.2e3, 82e3, 820e3, 8.2e6, 82e6,
9.1, 91, 910, 9.1e3, 91e3, 910e3, 9.1e6, 91e6,
1e12
