Freq.	V(vo)
1.00000000000000e+01	(-2.31560795742881e+00dB,-3.04189769780535e+01°)
1.00069338746258e+01	(-2.31798344881115e+00dB,-3.04312380001293e+01°)
1.00138725571133e+01	(-2.32036063369604e+00dB,-3.04434960240579e+01°)
1.00208160507963e+01	(-2.32273951196640e+00dB,-3.04557510384844e+01°)
1.00277643590108e+01	(-2.32512008350287e+00dB,-3.04680030320501e+01°)
1.00347174850950e+01	(-2.32750234818339e+00dB,-3.04802519933940e+01°)
1.00416754323897e+01	(-2.32988630588381e+00dB,-3.04924979111509e+01°)
1.00486382042379e+01	(-2.33227195647734e+00dB,-3.05047407739527e+01°)
1.00556058039847e+01	(-2.33465929983495e+00dB,-3.05169805704280e+01°)
1.00625782349778e+01	(-2.33704833582509e+00dB,-3.05292172892023e+01°)
1.00695555005672e+01	(-2.33943906431386e+00dB,-3.05414509188976e+01°)
1.00765376041051e+01	(-2.34183148516487e+00dB,-3.05536814481332e+01°)
1.00835245489460e+01	(-2.34422559823942e+00dB,-3.05659088655249e+01°)
1.00905163384468e+01	(-2.34662140339638e+00dB,-3.05781331596851e+01°)
1.00975129759669e+01	(-2.34901890049208e+00dB,-3.05903543192240e+01°)
1.01045144648677e+01	(-2.35141808938059e+00dB,-3.06025723327478e+01°)
1.01115208085131e+01	(-2.35381896991343e+00dB,-3.06147871888604e+01°)
1.01185320102693e+01	(-2.35622154193980e+00dB,-3.06269988761621e+01°)
1.01255480735049e+01	(-2.35862580530639e+00dB,-3.06392073832507e+01°)
1.01325690015909e+01	(-2.36103175985760e+00dB,-3.06514126987203e+01°)
1.01395947979003e+01	(-2.36343940543521e+00dB,-3.06636148111629e+01°)
1.01466254658088e+01	(-2.36584874187865e+00dB,-3.06758137091674e+01°)
1.01536610086943e+01	(-2.36825976902508e+00dB,-3.06880093813191e+01°)
1.01607014299370e+01	(-2.37067248670895e+00dB,-3.07002018162013e+01°)
1.01677467329196e+01	(-2.37308689476253e+00dB,-3.07123910023939e+01°)
1.01747969210269e+01	(-2.37550299301542e+00dB,-3.07245769284745e+01°)
1.01818519976462e+01	(-2.37792078129504e+00dB,-3.07367595830173e+01°)
1.01889119661673e+01	(-2.38034025942612e+00dB,-3.07489389545942e+01°)
1.01959768299819e+01	(-2.38276142723116e+00dB,-3.07611150317740e+01°)
1.02030465924846e+01	(-2.38518428453009e+00dB,-3.07732878031231e+01°)
1.02101212570720e+01	(-2.38760883114045e+00dB,-3.07854572572051e+01°)
1.02172008271430e+01	(-2.39003506687728e+00dB,-3.07976233825810e+01°)
1.02242853060993e+01	(-2.39246299155327e+00dB,-3.08097861678089e+01°)
1.02313746973444e+01	(-2.39489260497862e+00dB,-3.08219456014445e+01°)
1.02384690042845e+01	(-2.39732390696106e+00dB,-3.08341016720409e+01°)
1.02455682303281e+01	(-2.39975689730588e+00dB,-3.08462543681485e+01°)
1.02526723788860e+01	(-2.40219157581589e+00dB,-3.08584036783155e+01°)
1.02597814533714e+01	(-2.40462794229158e+00dB,-3.08705495910870e+01°)
1.02668954572000e+01	(-2.40706599653077e+00dB,-3.08826920950064e+01°)
1.02740143937897e+01	(-2.40950573832908e+00dB,-3.08948311786137e+01°)
1.02811382665607e+01	(-2.41194716747940e+00dB,-3.09069668304475e+01°)
1.02882670789358e+01	(-2.41439028377243e+00dB,-3.09190990390430e+01°)
1.02954008343400e+01	(-2.41683508699616e+00dB,-3.09312277929338e+01°)
1.03025395362008e+01	(-2.41928157693631e+00dB,-3.09433530806507e+01°)
1.03096831879479e+01	(-2.42172975337608e+00dB,-3.09554748907221e+01°)
1.03168317930136e+01	(-2.42417961609613e+00dB,-3.09675932116747e+01°)
1.03239853548325e+01	(-2.42663116487481e+00dB,-3.09797080320320e+01°)
1.03311438768414e+01	(-2.42908439948784e+00dB,-3.09918193403161e+01°)
1.03383073624797e+01	(-2.43153931970862e+00dB,-3.10039271250462e+01°)
1.03454758151891e+01	(-2.43399592530789e+00dB,-3.10160313747400e+01°)
1.03526492384138e+01	(-2.43645421605420e+00dB,-3.10281320779121e+01°)
1.03598276356002e+01	(-2.43891419171332e+00dB,-3.10402292230761e+01°)
1.03670110101973e+01	(-2.44137585204880e+00dB,-3.10523227987422e+01°)
1.03741993656562e+01	(-2.44383919682157e+00dB,-3.10644127934195e+01°)
1.03813927054306e+01	(-2.44630422579010e+00dB,-3.10764991956147e+01°)
1.03885910329767e+01	(-2.44877093871042e+00dB,-3.10885819938324e+01°)
1.03957943517528e+01	(-2.45123933533605e+00dB,-3.11006611765752e+01°)
1.04030026652199e+01	(-2.45370941541812e+00dB,-3.11127367323435e+01°)
1.04102159768412e+01	(-2.45618117870520e+00dB,-3.11248086496361e+01°)
